dyad,background,months,task,gesture,count_raw,count,ct_raw,ct,pro_rata
b01,Bengali,10,five,reach,5,5,1,1,no
b01,Bengali,10,five,point,0,0,0,0,no
b01,Bengali,10,five,ho_gv,0,0,0,0,no
b01,Bengali,10,tp1,reach,0,0,0,0,no
b01,Bengali,10,tp1,point,0,0,0,0,no
b01,Bengali,10,tp1,ho_gv,0,0,0,0,no
b01,Bengali,10,tp2,reach,0,0,0,0,no
b01,Bengali,10,tp2,point,0,0,0,0,no
b01,Bengali,10,tp2,ho_gv,0,0,0,0,no
b01,Bengali,11,five,reach,7,8,3,3,yes
b01,Bengali,11,five,point,1,1,0,0,yes
b01,Bengali,11,five,ho_gv,0,0,0,0,yes
b01,Bengali,11,tp1,reach,0,0,0,0,no
b01,Bengali,11,tp1,point,0,0,0,0,no
b01,Bengali,11,tp1,ho_gv,0,0,0,0,no
b01,Bengali,11,tp2,reach,0,0,0,0,no
b01,Bengali,11,tp2,point,0,0,0,0,no
b01,Bengali,11,tp2,ho_gv,0,0,0,0,no
b01,Bengali,12,five,reach,0,0,0,0,no
b01,Bengali,12,five,point,0,0,0,0,no
b01,Bengali,12,five,ho_gv,0,0,0,0,no
b01,Bengali,12,tp1,reach,0,0,0,0,no
b01,Bengali,12,tp1,point,0,0,0,0,no
b01,Bengali,12,tp1,ho_gv,1,1,0,0,no
b01,Bengali,12,tp2,reach,0,0,0,0,no
b01,Bengali,12,tp2,point,0,0,0,0,no
b01,Bengali,12,tp2,ho_gv,2,2,0,0,no
b02,Bengali,10,five,reach,2,2,0,0,no
b02,Bengali,10,five,point,1,1,0,0,no
b02,Bengali,10,five,ho_gv,0,0,0,0,no
b02,Bengali,10,tp1,reach,0,0,0,0,no
b02,Bengali,10,tp1,point,0,0,0,0,no
b02,Bengali,10,tp1,ho_gv,0,0,0,0,no
b02,Bengali,10,tp2,reach,0,0,0,0,no
b02,Bengali,10,tp2,point,0,0,0,0,no
b02,Bengali,10,tp2,ho_gv,1,1,0,0,no
b02,Bengali,11,five,reach,2,2,1,1,no
b02,Bengali,11,five,point,2,2,0,0,no
b02,Bengali,11,five,ho_gv,0,0,0,0,no
b02,Bengali,11,tp1,reach,0,0,0,0,no
b02,Bengali,11,tp1,point,0,0,0,0,no
b02,Bengali,11,tp1,ho_gv,4,4,0,0,no
b02,Bengali,11,tp2,reach,0,0,0,0,no
b02,Bengali,11,tp2,point,0,0,0,0,no
b02,Bengali,11,tp2,ho_gv,10,10,0,0,no
b02,Bengali,12,five,reach,3,3,0,0,no
b02,Bengali,12,five,point,0,0,0,0,no
b02,Bengali,12,five,ho_gv,0,0,0,0,no
b02,Bengali,12,tp1,reach,0,0,0,0,no
b02,Bengali,12,tp1,point,0,0,0,0,no
b02,Bengali,12,tp1,ho_gv,6,6,0,0,no
b02,Bengali,12,tp2,reach,0,0,0,0,no
b02,Bengali,12,tp2,point,0,0,0,0,no
b02,Bengali,12,tp2,ho_gv,5,5,0,0,no
b03,Bengali,10,five,reach,4,4,0,0,no
b03,Bengali,10,five,point,0,0,0,0,no
b03,Bengali,10,five,ho_gv,0,0,0,0,no
b03,Bengali,10,tp1,reach,0,0,0,0,no
b03,Bengali,10,tp1,point,0,0,0,0,no
b03,Bengali,10,tp1,ho_gv,8,8,0,0,no
b03,Bengali,10,tp2,reach,0,0,0,0,no
b03,Bengali,10,tp2,point,0,0,0,0,no
b03,Bengali,10,tp2,ho_gv,0,0,0,0,no
b03,Bengali,11,five,reach,6,6,0,0,no
b03,Bengali,11,five,point,1,1,0,0,no
b03,Bengali,11,five,ho_gv,0,0,0,0,no
b03,Bengali,11,tp1,reach,0,0,0,0,no
b03,Bengali,11,tp1,point,0,0,0,0,no
b03,Bengali,11,tp1,ho_gv,5,5,0,0,no
b03,Bengali,11,tp2,reach,0,0,0,0,no
b03,Bengali,11,tp2,point,0,0,0,0,no
b03,Bengali,11,tp2,ho_gv,3,3,0,0,no
b03,Bengali,12,five,reach,4,6,0,0,yes
b03,Bengali,12,five,point,0,0,0,0,yes
b03,Bengali,12,five,ho_gv,0,0,0,0,yes
b03,Bengali,12,tp1,reach,0,0,0,0,no
b03,Bengali,12,tp1,point,0,0,0,0,no
b03,Bengali,12,tp1,ho_gv,4,4,0,0,no
b03,Bengali,12,tp2,reach,0,0,0,0,no
b03,Bengali,12,tp2,point,0,0,0,0,no
b03,Bengali,12,tp2,ho_gv,6,6,0,0,no
b04,Bengali,10,five,reach,0,0,0,0,no
b04,Bengali,10,five,point,0,0,0,0,no
b04,Bengali,10,five,ho_gv,0,0,0,0,no
b04,Bengali,10,tp1,reach,0,0,0,0,no
b04,Bengali,10,tp1,point,0,0,0,0,no
b04,Bengali,10,tp1,ho_gv,3,3,1,1,no
b04,Bengali,10,tp2,reach,0,0,0,0,no
b04,Bengali,10,tp2,point,0,0,0,0,no
b04,Bengali,10,tp2,ho_gv,4,4,0,0,no
b04,Bengali,11,five,reach,9,9,3,3,no
b04,Bengali,11,five,point,0,0,0,0,no
b04,Bengali,11,five,ho_gv,0,0,0,0,no
b04,Bengali,11,tp1,reach,0,0,0,0,no
b04,Bengali,11,tp1,point,0,0,0,0,no
b04,Bengali,11,tp1,ho_gv,9,9,2,2,no
b04,Bengali,11,tp2,reach,0,0,0,0,yes
b04,Bengali,11,tp2,point,0,0,0,0,yes
b04,Bengali,11,tp2,ho_gv,3,3,3,3,yes
b04,Bengali,12,five,reach,5,5,1,1,no
b04,Bengali,12,five,point,3,3,2,2,no
b04,Bengali,12,five,ho_gv,0,0,0,0,no
b04,Bengali,12,tp1,reach,0,0,0,0,no
b04,Bengali,12,tp1,point,1,1,1,1,no
b04,Bengali,12,tp1,ho_gv,9,9,3,3,no
b04,Bengali,12,tp2,reach,0,0,0,0,no
b04,Bengali,12,tp2,point,1,1,0,0,no
b04,Bengali,12,tp2,ho_gv,3,3,0,0,no
b05,Bengali,10,five,reach,4,4,0,0,no
b05,Bengali,10,five,point,0,0,0,0,no
b05,Bengali,10,five,ho_gv,0,0,0,0,no
b05,Bengali,10,tp1,reach,0,0,0,0,no
b05,Bengali,10,tp1,point,0,0,0,0,no
b05,Bengali,10,tp1,ho_gv,0,0,0,0,no
b05,Bengali,10,tp2,reach,0,0,0,0,no
b05,Bengali,10,tp2,point,0,0,0,0,no
b05,Bengali,10,tp2,ho_gv,0,0,0,0,no
b05,Bengali,11,five,reach,3,3,0,0,no
b05,Bengali,11,five,point,3,3,0,0,no
b05,Bengali,11,five,ho_gv,0,0,0,0,no
b05,Bengali,11,tp1,reach,0,0,0,0,no
b05,Bengali,11,tp1,point,0,0,0,0,no
b05,Bengali,11,tp1,ho_gv,1,1,0,0,no
b05,Bengali,11,tp2,reach,0,0,0,0,no
b05,Bengali,11,tp2,point,0,0,0,0,no
b05,Bengali,11,tp2,ho_gv,6,6,3,3,no
b05,Bengali,12,five,reach,1,1,0,0,no
b05,Bengali,12,five,point,5,5,3,3,no
b05,Bengali,12,five,ho_gv,0,0,0,0,no
b05,Bengali,12,tp1,reach,1,1,0,0,no
b05,Bengali,12,tp1,point,0,0,0,0,no
b05,Bengali,12,tp1,ho_gv,1,1,0,0,no
b05,Bengali,12,tp2,reach,0,0,0,0,no
b05,Bengali,12,tp2,point,0,0,0,0,no
b05,Bengali,12,tp2,ho_gv,8,8,1,1,no
b06,Bengali,10,five,reach,1,1,0,0,no
b06,Bengali,10,five,point,0,0,0,0,no
b06,Bengali,10,five,ho_gv,0,0,0,0,no
b06,Bengali,10,tp1,reach,0,0,0,0,no
b06,Bengali,10,tp1,point,0,0,0,0,no
b06,Bengali,10,tp1,ho_gv,4,4,1,1,no
b06,Bengali,10,tp2,reach,0,0,0,0,no
b06,Bengali,10,tp2,point,0,0,0,0,no
b06,Bengali,10,tp2,ho_gv,3,3,1,1,no
b06,Bengali,11,five,reach,2,2,0,0,no
b06,Bengali,11,five,point,0,0,0,0,no
