dyad,background,months,task,duration,utterances_raw,utterances,pro_rata
b01,Bengali,10,five,4.32,62,62,no
b01,Bengali,10,tp1,9.15,86,86,no
b01,Bengali,10,tp2,9.4,75,75,no
b01,Bengali,11,five,4.27,99,112,yes
b01,Bengali,11,tp1,10,63,63,no
b01,Bengali,11,tp2,10,124,124,no
b01,Bengali,12,five,4.32,67,67,no
b01,Bengali,12,tp1,10.04,85,85,no
b01,Bengali,12,tp2,10.12,75,75,no
b02,Bengali,10,five,5,36,36,no
b02,Bengali,10,tp1,10,18,18,no
b02,Bengali,10,tp2,10,19,19,no
b02,Bengali,11,five,5,26,26,no
b02,Bengali,11,tp1,10,7,7,no
b02,Bengali,11,tp2,10,10,10,no
b02,Bengali,12,five,4.5,43,43,no
b02,Bengali,12,tp1,10,10,10,no
b02,Bengali,12,tp2,10,20,20,no
b03,Bengali,10,five,5,37,37,no
b03,Bengali,10,tp1,10,0,0,no
b03,Bengali,10,tp2,10,36,36,no
b03,Bengali,11,five,5,19,19,no
b03,Bengali,11,tp1,10,26,26,no
b03,Bengali,11,tp2,10,33,33,no
b03,Bengali,12,five,3.21,11,16,yes
b03,Bengali,12,tp1,10,41,41,no
b03,Bengali,12,tp2,10,33,33,no
b04,Bengali,10,five,4.4,109,109,no
b04,Bengali,10,tp1,9.51,265,265,no
b04,Bengali,10,tp2,9.19,95,95,no
b04,Bengali,11,five,4.57,140,140,no
b04,Bengali,11,tp1,9.29,162,162,no
b04,Bengali,11,tp2,8.34,189,221,yes
b04,Bengali,12,five,5,133,133,no
b04,Bengali,12,tp1,10,234,234,no
b04,Bengali,12,tp2,10,173,173,no
b05,Bengali,10,five,5,18,18,no
b05,Bengali,10,tp1,10,46,46,no
b05,Bengali,10,tp2,10,76,76,no
b05,Bengali,11,five,5,54,54,no
b05,Bengali,11,tp1,10,54,54,no
b05,Bengali,11,tp2,10,88,88,no
b05,Bengali,12,five,5,65,65,no
b05,Bengali,12,tp1,10,22,22,no
b05,Bengali,12,tp2,10,38,38,no
b06,Bengali,10,five,5,13,13,no
b06,Bengali,10,tp1,10,12,12,no
b06,Bengali,10,tp2,10,26,26,no
b06,Bengali,11,five,5,47,47,no
b06,Bengali,11,tp1,10,21,21,no
b06,Bengali,11,tp2,10,43,43,no
b06,Bengali,12,five,5,41,41,no
b06,Bengali,12,tp1,10,8,8,no
b06,Bengali,12,tp2,10,9,9,no
b07,Bengali,10,five,5,99,99,no
b07,Bengali,10,tp1,10,19,19,no
b07,Bengali,10,tp2,10,93,93,no
b07,Bengali,11,five,5,67,67,no
b07,Bengali,11,tp1,10,46,46,no
b07,Bengali,11,tp2,10,61,61,no
b07,Bengali,12,five,5,113,113,no
b07,Bengali,12,tp1,10,57,57,no
b07,Bengali,12,tp2,10,77,77,no
b08,Bengali,10,five,3.56,38,48,yes
b08,Bengali,10,tp1,10,130,130,no
b08,Bengali,10,tp2,10,130,130,no
b08,Bengali,11,five,5,97,97,no
b08,Bengali,11,tp1,10,155,155,no
b08,Bengali,11,tp2,10,164,164,no
b08,Bengali,12,five,5,112,112,no
b08,Bengali,12,tp1,10,200,200,no
b08,Bengali,12,tp2,10,155,155,no
b09,Bengali,10,five,5,110,110,no
b09,Bengali,10,tp1,10,242,242,no
b09,Bengali,10,tp2,10,297,297,no
b09,Bengali,11,five,5,47,47,no
b09,Bengali,11,tp1,10,139,139,no
b09,Bengali,11,tp2,10,198,198,no
b09,Bengali,12,five,5,96,96,no
b09,Bengali,12,tp1,10,254,254,no
b09,Bengali,12,tp2,10,167,167,no
b10,Bengali,10,five,5,105,105,no
b10,Bengali,10,tp1,10,134,134,no
b10,Bengali,10,tp2,10,140,140,no
b10,Bengali,11,five,5,36,36,no
b10,Bengali,11,tp1,10,118,118,no
b10,Bengali,11,tp2,10,60,60,no
b10,Bengali,12,five,5,94,94,no
b10,Bengali,12,tp1,10,63,63,no
b10,Bengali,12,tp2,9.08,40,44,yes
b11,Bengali,10,five,5,104,104,no
b11,Bengali,10,tp1,10,183,183,no
b11,Bengali,10,tp2,10,154,154,no
b11,Bengali,11,five,5,129,129,no
b11,Bengali,11,tp1,10,,,no
b11,Bengali,11,tp2,10,123,123,no
b11,Bengali,12,five,5,127,127,no
b11,Bengali,12,tp1,10,,,no
b11,Bengali,12,tp2,10,111,111,no
b12,Bengali,10,five,5,48,48,no
b12,Bengali,10,tp1,10,124,124,no
b12,Bengali,10,tp2,10,138,138,no
b12,Bengali,11,five,5,95,95,no
b12,Bengali,11,tp1,10,118,118,no
b12,Bengali,11,tp2,10,48,48,no
b12,Bengali,12,five,,,,no
b12,Bengali,12,tp1,10,95,95,no
b12,Bengali,12,tp2,7.45,54,54,yes
b13,Bengali,10,five,4.37,18,19,yes
b13,Bengali,10,tp1,10,43,43,no
b13,Bengali,10,tp2,10,39,39,no
b13,Bengali,11,five,5,18,18,no
b13,Bengali,11,tp1,10,15,15,no
b13,Bengali,11,tp2,10,19,19,no
b13,Bengali,12,five,5,5,5,no
b13,Bengali,12,tp1,10,12,12,no
b13,Bengali,12,tp2,10,11,11,no
b14,Bengali,10,five,4.28,51,57,yes
b14,Bengali,10,tp1,10,69,69,no
b14,Bengali,10,tp2,10,48,48,no
b14,Bengali,11,five,5,99,99,no
b14,Bengali,11,tp1,10,82,82,no
b14,Bengali,11,tp2,10,51,51,no
b14,Bengali,12,five,5,49,49,no
b14,Bengali,12,tp1,10,61,61,no
b14,Bengali,12,tp2,10,76,76,no
b15,Bengali,10,five,5,44,44,
b15,Bengali,10,tp1,9.51,22,22,yes
b15,Bengali,10,tp2,10,114,114,
b15,Bengali,11,five,4.5,25,25,yes
b15,Bengali,11,tp1,9.55,1,1,yes
b15,Bengali,11,tp2,3.42,0,0,yes
b15,Bengali,12,five,,31,31,
b15,Bengali,12,tp1,9.53,1,1,yes
b15,Bengali,12,tp2,9.15,1,1,yes
b16,Bengali,10,five,5,5,5,no
b16,Bengali,10,tp1,10,84,84,no
b16,Bengali,10,tp2,10,80,80,no
b16,Bengali,11,five,5,88,88,no
b16,Bengali,11,tp1,10,128,128,no
b16,Bengali,11,tp2,10,119,119,no
b16,Bengali,12,five,5,71,71,no
b16,Bengali,12,tp1,10,80,80,no
b16,Bengali,12,tp2,10,83,83,no
b17,Bengali,10,five,5,67,67,no
b17,Bengali,10,tp1,10,65,65,no
b17,Bengali,10,tp2,8.18,91,110,yes
b17,Bengali,11,five,5,93,93,no
b17,Bengali,11,tp1,10,82,82,no
b17,Bengali,11,tp2,10,113,113,no
b17,Bengali,12,five,5,81,81,no
b17,Bengali,12,tp1,10,71,71,no
b17,Bengali,12,tp2,10,166,166,no
b18,Bengali,10,five,5,11,11,no
b18,Bengali,10,tp1,10,11,11,no
b18,Bengali,10,tp2,10,20,20,no
b18,Bengali,11,five,4.36,9,10,yes
b18,Bengali,11,tp1,10,14,14,no
b18,Bengali,11,tp2,10,8,8,no
b18,Bengali,12,five,5,15,15,no
b18,Bengali,12,tp1,10,22,22,no
b18,Bengali,12,tp2,10,27,27,no
b19,Bengali,10,five,5,96,96,no
b19,Bengali,10,tp1,10,69,69,no
b19,Bengali,10,tp2,9.31,41,43,yes
b19,Bengali,11,five,5,21,21,no
b19,Bengali,11,tp1,10,0,0,no
b19,Bengali,11,tp2,10,0,0,no
b19,Bengali,12,five,5,9,9,no
b19,Bengali,12,tp1,10,27,27,no
b19,Bengali,12,tp2,10,36,36,no
b20,Bengali,10,five,5,154,154,no
b20,Bengali,10,tp1,10,84,84,no
b20,Bengali,10,tp2,10,32,32,no
b20,Bengali,11,five,5,125,125,no
b20,Bengali,11,tp1,10,31,31,no
b20,Bengali,11,tp2,10,21,21,no
b20,Bengali,12,five,5,78,78,no
b20,Bengali,12,tp1,10,13,13,no
b20,Bengali,12,tp2,10,3,3,no
c01,Chinese,10,five,2,21,52,yes
c01,Chinese,10,tp1,10,7,7,no
c01,Chinese,10,tp2,10,14,14,no
c01,Chinese,11,five,5,74,74,no
c01,Chinese,11,tp1,7.17,21,29,yes
c01,Chinese,11,tp2,10,12,12,no
c01,Chinese,12,five,5,103,103,no
c01,Chinese,12,tp1,10,69,69,no
c01,Chinese,12,tp2,10,53,53,no
c02,Chinese,10,five,3.04,72,122,yes
c02,Chinese,10,tp1,3.35,107,176,yes
c02,Chinese,10,tp2,10,88,88,no
c02,Chinese,11,five,5,97,97,no
c02,Chinese,11,tp1,10,130,130,no
c02,Chinese,11,tp2,10,33,33,no
c02,Chinese,12,five,5,106,106,no
c02,Chinese,12,tp1,10,71,71,no
c02,Chinese,12,tp2,10,27,27,no
c03,Chinese,10,five,4.14,106,125,yes
c03,Chinese,10,tp1,10,141,141,no
c03,Chinese,10,tp2,10,102,102,no
c03,Chinese,11,five,5,124,124,no
c03,Chinese,11,tp1,10,117,117,no
c03,Chinese,11,tp2,10,90,90,no
c03,Chinese,12,five,5,124,124,no
c03,Chinese,12,tp1,10,37,37,no
c03,Chinese,12,tp2,10,93,93,no
c04,Chinese,10,five,5,163,163,no
c04,Chinese,10,tp1,10,108,108,no
c04,Chinese,10,tp2,10,98,98,no
c04,Chinese,11,five,5,156,156,no
c04,Chinese,11,tp1,10,74,74,no
c04,Chinese,11,tp2,10,97,97,no
c04,Chinese,12,five,5,131,131,no
c04,Chinese,12,tp1,10,117,117,no
c04,Chinese,12,tp2,10,57,57,no
c05,Chinese,10,five,5,150,150,no
c05,Chinese,10,tp1,10,110,110,no
c05,Chinese,10,tp2,10,74,74,no
c05,Chinese,11,five,5,164,164,no
c05,Chinese,11,tp1,10,20,20,no
c05,Chinese,11,tp2,10,4,4,no
c05,Chinese,12,five,5,69,69,no
c05,Chinese,12,tp1,10,11,11,no
c05,Chinese,12,tp2,10,22,22,no
c06,Chinese,10,five,5,182,182,no
c06,Chinese,10,tp1,10,185,185,no
c06,Chinese,10,tp2,10,183,183,no
c06,Chinese,11,five,3.59,120,151,yes
c06,Chinese,11,tp1,10,171,171,no
c06,Chinese,11,tp2,10,138,138,no
c06,Chinese,12,five,5,145,145,no
c06,Chinese,12,tp1,10,211,211,no
c06,Chinese,12,tp2,10,84,84,no
c07,Chinese,10,five,5,93,93,no
c07,Chinese,10,tp1,10,138,138,no
c07,Chinese,10,tp2,10,105,105,no
c07,Chinese,11,five,5,80,80,no
c07,Chinese,11,tp1,10,155,155,no
c07,Chinese,11,tp2,10,67,67,no
c07,Chinese,12,five,5,52,52,no
c07,Chinese,12,tp1,10,91,91,no
c07,Chinese,12,tp2,10,82,82,no
c08,Chinese,10,five,5,86,86,no
c08,Chinese,10,tp1,10,137,137,no
c08,Chinese,10,tp2,10,115,115,no
c08,Chinese,11,five,5,98,98,no
c08,Chinese,11,tp1,10,111,111,no
c08,Chinese,11,tp2,10,114,114,no
c08,Chinese,12,five,5,84,84,no
c08,Chinese,12,tp1,10,78,78,no
c08,Chinese,12,tp2,10,98,98,no
c09,Chinese,10,five,4.08,79,95,yes
c09,Chinese,10,tp1,10,53,53,no
c09,Chinese,10,tp2,10,41,41,no
c09,Chinese,11,five,5,36,36,no
c09,Chinese,11,tp1,10,62,62,no
c09,Chinese,11,tp2,10,99,99,no
c09,Chinese,12,five,5,78,92,yes
c09,Chinese,12,tp1,10,99,99,no
c09,Chinese,12,tp2,10,91,91,no
c10,Chinese,10,five,5,17,17,no
c10,Chinese,10,tp1,10,28,28,no
c10,Chinese,10,tp2,10,91,91,no
c10,Chinese,11,five,5,2,2,no
c10,Chinese,11,tp1,10,0,0,no
c10,Chinese,11,tp2,10,1,1,no
c10,Chinese,12,five,5,1,1,no
c10,Chinese,12,tp1,10,0,0,no
c10,Chinese,12,tp2,10,27,27,no
c11,Chinese,10,five,5,87,87,no
c11,Chinese,10,tp1,10,123,123,no
c11,Chinese,10,tp2,10,71,71,no
c11,Chinese,11,five,5,103,103,no
c11,Chinese,11,tp1,10,163,163,no
c11,Chinese,11,tp2,10,85,85,no
c11,Chinese,12,five,5,116,116,no
c11,Chinese,12,tp1,10,128,128,no
c11,Chinese,12,tp2,10,100,100,no
c12,Chinese,10,five,5,86,86,no
