term,estimate,std.error,statistic,p.value,term,estimate,std.error,statistic,p.value,term,estimate,std.error,statistic,p.value,term,estimate,std.error,statistic,p.value,term,estimate,std.error,statistic,p.value
(Intercept),8.50690904212504,14.4694640183718,0.587921503610905,0.55795127184189,(Intercept),9.39590224942113,13.456079736155,0.698264459906205,0.486682446355928,(Intercept),4.98322053017491,18.314714519913,0.272088354134966,0.786132393865658,(Intercept),2.89138444041941,57.0960478321706,0.05064071070065,0.959727908449561,(Intercept),6.57841842723005,15.286132974496,0.430352034632025,0.667935236962065
count_tot,0.048061443520258,0.288773885135369,0.166432790478018,0.868162804708529,hgp_tot,0.026153655309295,0.29162900844294,0.089681254443563,0.928725427744172,reach_tot,0.724619289340097,1.90142049374351,0.381093656939328,0.703967167353219,utt_tot,0.004212762301402,0.065490884548872,0.064325933760421,0.948858276964408,ct_tot,0.541299882629108,1.59932367433393,0.338455492978645,0.735782879401415
months18,20.5347441500718,20.8945148554701,0.982781571724116,0.328159928823347,months18,28.2426552343099,19.4246018420536,1.4539631475568,0.14918452789899,months18,72.0424933283989,26.1419215559039,2.75582241245494,0.006993817119636,months18,30.5535343354783,83.1946420645811,0.367253630489337,0.714321670966997,months18,18.1570075817386,21.9472236655339,0.827303164101456,0.410183018324461
backgroundBengali,1.1918801811604,27.5994368546254,0.043184945672565,0.965642877713346,backgroundBengali,0.157086881013653,24.7625966294727,0.006343716023169,0.994951509349922,backgroundBengali,4.71526215689537,30.5063091588608,0.154566785917653,0.877484010614726,backgroundBengali,0.773350766733707,60.482464927482,0.012786363248604,0.98982751203484,backgroundBengali,-1.08404972539248,20.0285967880411,-0.054125096074616,0.956951599050043
backgroundChinese,-6.48225027089587,24.0795949436997,-0.269200968124752,0.788346823291956,backgroundChinese,-6.49401332920688,21.6691003626429,-0.299690029605586,0.765054848537847,backgroundChinese,-4.24722053017495,29.3194957218025,-0.144859944743751,0.885122020917161,backgroundChinese,-0.437356677384521,62.5239058363692,-0.00699503128498,0.994434833078249,backgroundChinese,-5.27480771155773,22.5241725653002,-0.234184305606142,0.815356674150708
count_tot:months18,1.19328566945121,0.411041804095065,2.90307617756376,0.004574598455109,hgp_tot:months18,1.22140599761912,0.414858635749606,2.94414986785117,0.00405286535313,reach_tot:months18,-1.59492875263805,2.68991901027862,-0.592928168671088,0.5546091070001,utt_tot:months18,0.013408400605141,0.094525026818691,0.141850270308412,0.887526243577928,ct_tot:months18,4.96542657476999,2.26707796303541,2.19023194426086,0.031008069686718
count_tot:backgroundBengali,-0.057777057996123,0.603307828428937,-0.095767127946241,0.923903098385628,hgp_tot:backgroundBengali,-0.034577568352773,0.691631697512154,-0.049994192685429,0.96022981800152,reach_tot:backgroundBengali,-0.758596724173443,2.66932682371589,-0.284190275028752,0.776870338725975,utt_tot:backgroundBengali,0.00458985656106,0.070642289222035,0.064973213801636,0.948344391500597,ct_tot:backgroundBengali,0.648978718437879,2.88668810485853,0.22481774783552,0.822614292290298
count_tot:backgroundChinese,0.001117176283166,0.486731041390165,0.002295264094879,0.998173359664643,hgp_tot:backgroundChinese,0.008523536683939,0.496106483618508,0.0171808612977,0.98632762027553,reach_tot:backgroundChinese,-0.340619289340092,2.94621340613022,-0.115612565142553,0.908198608089507,utt_tot:backgroundChinese,-0.002290332882037,0.072293298215773,-0.031681123127088,0.97479891692008,ct_tot:backgroundChinese,-0.249595469532176,2.19410755056145,-0.113757171779618,0.909675508360533
months18:backgroundBengali,14.8272126040844,39.2594931509879,0.377672033285312,0.706499377378029,months18:backgroundBengali,10.0686672294583,35.2357116666988,0.285751777194106,0.775677574033857,months18:backgroundBengali,-47.6450092147948,43.2875539125879,-1.10066300606881,0.273767263935677,months18:backgroundBengali,-40.5591132199128,87.8503741571708,-0.461684012265554,0.645460278136338,months18:backgroundBengali,-17.5642393541155,28.5768837103153,-0.614631025977666,0.540299285250023
months18:backgroundChinese,-38.5475018805387,34.3147746370692,-1.12334999393809,0.26406146789832,months18:backgroundChinese,-27.5124841977532,30.8914683050737,-0.890617562300672,0.375338091705605,months18:backgroundChinese,-66.9011599950655,41.6149995254691,-1.60762130861304,0.111168463403839,months18:backgroundChinese,8.63930449027703,90.6637122238938,0.095289551666959,0.924303982047275,months18:backgroundChinese,9.0668826732116,32.0784289437601,0.282647341897811,0.778075309963092
